type,id,bb_1_pt1,bb_1_pt2,bb_1_pt3,bb_1_pt4
train,00184,156.095856 138.651688 333.541046 360.599304
train,05306,175.371368 155.094650 409.957489 497.285309
train,09413,71.655945 66.073273 150.246841 172.332062
train,02254,95.245071 77.654488 234.916443 252.634750
test,1105,124.799927 124.560852 281.588074 331.495789
train,07336,353.084567 297.527484 663.545455 682.618393
train,09847,230.292450 195.088501 461.358765 485.458954
train,11305,128.966173 133.957717 286.879493 319.820296
train,00264,79.720779 69.837395 172.144257 195.535385
train,06234,102.776215 76.741737 206.122177 208.454514
train,08945,95.488472 68.157166 226.295746 219.751434
test,2037,126.194618 96.522148 250.737549 260.799652
train,10207,325.028442 278.684387 635.388428 689.299805
train,01366,28.031681 30.732677 58.261208 70.593147
train,09768,92.863701 85.127335 204.106094 234.711868
train,09488,227.208160 249.958191 557.756470 675.061279
train,01086,161.437592 129.991852 314.098267 333.904144
train,04204,320.442627 233.652466 746.868835 835.124451
train,12237,116.566971 101.688278 223.074509 246.269394
train,03356,131.079010 115.105087 269.662323 298.868683
train,08511,393.869141 319.913513 970.684937 1064.154907
test,0007,315.000885 279.897644 613.883423 685.204834
train,04030,35.229271 30.675411 65.702339 74.637032
train,07279,34.762363 27.381542 57.710682 59.502056
train,09908,78.412674 54.711155 161.793823 161.288116
test,0233,339.038055 285.997886 701.575053 711.978858
train,08891,27.698505 29.046215 49.531399 54.896923
train,03162,119.042740 81.769226 340.695679 393.691498
train,08725,176.680634 147.745819 360.889282 394.001801
train,12003,227.757294 175.003723 457.976563 474.000122
train,03282,148.392914 119.023804 305.230530 331.057037
train,06000,207.618332 185.660614 382.809631 419.685333
train,05249,359.879303 254.455750 762.744629 820.378479
train,01152,65.083069 41.955093 168.065308 164.149185
train,10033,63.749054 52.585075 121.281281 125.215645
test,2203,62.013515 52.464569 123.441795 137.505783
train,07199,113.816635 105.506020 231.508041 256.178314
train,02380,90.576012 65.318878 342.959473 359.362732
train,07102,156.244293 137.285126 321.616638 353.571289
test,2298,93.791992 72.205765 188.623993 210.991425
train,03219,168.987534 129.234772 363.052917 383.877930
train,00050,467.881317 326.784027 1042.436646 1062.907959
train,11131,99.927917 75.947014 215.526123 237.746017
test,0148,28.032993 25.001694 48.026482 52.062275
train,05132,125.947769 75.806763 297.751495 314.903076
train,12098,46.212692 36.278217 92.426941 94.422775
test,1331,55.322174 50.600430 104.984192 124.015518
test,2178,52.587250 40.819729 111.167343 120.031197
train,09993,142.261627 124.422180 263.631683 281.187653
train,01229,295.709302 235.337209 645.662791 735.709302
train,09627,445.548492 280.232544 1183.581543 1230.517212
train,02060,154.398895 106.975784 324.204163 343.633514
train,10348,324.689392 187.419907 695.208984 766.972534
train,06172,238.448990 219.925232 562.489014 606.417786
test,2371,426.353241 320.803101 827.767883 877.791260
test,1138,107.047195 102.278679 210.391388 252.207977
train,10141,270.970947 227.484528 544.348145 605.942444
train,02269,256.614380 234.076797 580.218811 656.154419
train,01020,75.701019 56.025764 187.808731 215.099228
train,02189,191.927902 129.708191 396.584534 406.154694
test,2091,90.158676 70.667267 198.157669 204.864899
train,04142,300.673401 262.319550 573.841064 621.784363
train,12171,47.686405 48.815437 100.009109 111.952881
train,11338,278.018066 249.861465 610.999084 686.446472
train,00259,157.152161 130.326904 313.372925 359.871124
train,08657,125.888351 93.065613 287.732178 303.790436
train,03010,85.163109 54.444145 167.999207 165.434723
train,06292,269.940857 178.518982 537.471619 549.264771
test,0341,179.198639 136.065704 394.534119 385.831543
train,05040,84.748863 67.023293 180.965073 183.960007
train,06209,117.470337 94.514214 214.663879 227.208374
train,08978,416.002258 434.839569 842.746277 930.099670
train,02112,273.952484 241.784515 567.816711 648.594604
train,09755,64.664963 59.086342 148.880707 185.792343
train,07390,66.878548 57.855225 133.348053 146.686234
test,1243,264.819702 219.950592 554.426636 609.874756
train,07070,170.795105 151.992233 338.360931 364.658997
train,04239,71.526588 60.880463 189.522491 196.546188
train,11043,97.251740 87.716728 210.598862 244.003738
train,00122,32.667618 33.059059 68.719032 81.653641
train,09681,82.437981 76.549271 171.494064 182.316895
train,07244,66.633545 46.225296 124.866913 125.895309
train,09935,149.804153 140.535721 441.121460 468.733612
test,1397,131.777176 105.329124 281.238708 299.324890
train,00316,29.095036 17.725353 69.626129 75.924019
train,08718,60.866455 50.123100 120.841698 128.355316
train,11277,31.909091 29.272727 55.090909 51.909091
test,3047,155.368210 140.825211 282.779572 287.005463
train,05194,128.013336 106.528236 272.053436 294.734924
train,05274,305.909027 260.650909 750.453125 853.342712
train,11197,278.986115 249.378647 558.884949 605.281433
test,1077,144.494507 145.980759 313.227844 393.796234
train,02326,45.984184 34.866051 81.617203 75.555916
train,09561,27.344654 30.074627 57.007755 64.712799
train,04376,35.335815 37.827621 67.728271 78.592178
train,10095,44.302326 52.932347 80.617336 95.775899
test,0175,40.996414 33.062218 78.747665 81.384186
train,08463,33.582066 32.404575 74.017563 82.784859
train,03224,79.174416 85.400902 221.334610 259.792847
train,08783,113.317413 105.679695 221.522171 231.243256
train,06346,56.321785 36.272049 113.696205 107.224487
train,08837,101.287613 85.382904 261.869171 283.707825
test,0295,90.310165 72.138199 175.939651 185.479034
train,01214,205.352081 98.929939 385.976013 355.588348
train,10375,26.979433 26.338591 48.178165 55.835785
test,2145,58.868675 58.788303 142.978012 167.300873
train,04096,209.031464 146.306091 548.345215 623.222900
test,1526,35.538132 29.252298 74.798729 81.667229
train,09030,36.901485 21.889402 90.290031 90.883659
train,02677,189.688080 164.635941 378.405762 410.070190
train,04908,351.521545 275.436249 868.202393 935.131348
train,05725,228.018005 182.114914 479.435730 545.283508
train,05891,31.709225 27.628914 62.702412 67.098351
train,06938,197.255585 145.796402 397.685181 408.803772
train,00647,271.046051 212.779724 558.947388 586.915833
train,08249,425.553223 370.240784 949.451355 958.150330
train,11726,356.509491 338.637299 783.326294 924.617065
train,11892,238.448639 189.252014 516.098022 570.077148
test,1972,47.386993 36.382824 94.922104 99.620384
train,02597,228.539112 232.043340 536.429175 600.009514
train,07715,40.139534 32.103855 82.099930 84.811813
train,01745,27.300383 23.769522 74.410263 76.209282
train,10624,60.044397 60.813953 117.183932 135.268499
train,10990,94.044937 78.003876 206.612686 208.231400
test,2414,29.487141 29.956944 62.421585 69.937599
test,0870,33.246624 17.869297 69.814522 69.687843
