id,manual_1_X,manual_2_X,manual_3_X,manual_4_X,manual_5_X,manual_1_Y,manual_2_Y,manual_3_Y,manual_4_Y,manual_5_Y,Gender,Race,Age,label
3396,0.31516499475464843,0.7637110121013758,0.5038949203633052,0.23355873526064194,0.7815374888471215,0.45063817815304574,0.4680223592715115,0.6849016504757269,0.7204313637105472,0.7929923435371354,0,0,2,4
4548,0.6088579976833919,0.9247118600580599,0.9695121062241904,0.6648611927490189,0.9135089111585634,0.4494576087614136,0.37194968454262733,0.6344134396433794,0.8211311582687866,0.7894262607824237,1,0,2,5
3383,0.30607235566969,0.7963738708506457,0.5605644164288638,0.29451892256308576,0.7518075457601018,0.38731221512841874,0.41283310175302007,0.5985858067697418,0.7406184303635119,0.7509630740284527,1,0,3,4
11406,0.2965527455623923,0.7957737274286636,0.5007795108713214,0.2252354624386393,0.6677138204959026,0.363240172901409,0.43983092330651913,0.6784235678659849,0.7638146196030569,0.8153104468035547,0,0,2,7
11413,0.24338986259439027,0.711067457968586,0.39764770433200086,0.24370117660606028,0.6639401132581363,0.41670225800095895,0.41677932377098775,0.5739164288597238,0.7868267775160813,0.7809126011645158,0,0,3,7
6054,0.26179480322913046,0.7349452654456693,0.4769078104044018,0.2974612085638905,0.6320525346046836,0.395017104702047,0.41283378376037466,0.6180242989049444,0.7744168258672456,0.7894276098214835,1,0,4,1
6041,0.26070824635105805,0.75953737436126,0.5092187879584824,0.29855549173070506,0.7313996772335801,0.4147091641307196,0.40291882930847983,0.5956403385526006,0.7706260427310617,0.7680589756117687,0,0,3,4
2367,0.289044933091251,0.7998341951923483,0.5150050387132535,0.3232254004283155,0.6498236885002385,0.4530494763787976,0.5169709299053741,0.6767745637218151,0.7806448879106908,0.8110079858941767,2,0,0,5
8008,0.3534517691986236,0.8703738409476267,0.6354131018567474,0.38596790311306933,0.8522999379406359,0.4217378786747848,0.39869607616940417,0.686668150984825,0.7874466039864605,0.7471150401850718,0,2,2,4
2372,0.3001707484918655,0.5980411924680732,0.5560343783882125,0.4987510444760039,0.8271697075047796,0.5260278835573398,0.318642391040957,0.6076250602478179,0.8184095410321678,0.6042260719798509,1,0,2,4
426,0.21055449755493652,0.5947159670234192,0.36803346934161474,0.30811028963730924,0.6439190166422062,0.4081221201354308,0.38585755766356,0.6407123532562438,0.748777671647448,0.7237590852130731,1,2,2,4
433,0.3274181214738488,0.7738051704326041,0.6457430407079146,0.44084436898964885,0.843327450527922,0.4001442567063611,0.33683186061426157,0.5539050983743942,0.7709783361345269,0.7167092687889668,1,2,4,4
4715,0.3779765575861041,0.9016319769625453,0.6449776990924466,0.35204432388143,0.7458433508923079,0.4106192602951119,0.49327629717818366,0.6290947038677023,0.7629368514566094,0.8117998577192262,0,1,1,4
4700,0.2683380491673868,0.8005273381141472,0.44921264135029443,0.2752943742353621,0.6370435586011775,0.3795488824151315,0.4380449211205221,0.5964787985470755,0.7792860254342084,0.793910035110556,1,1,1,5
8255,0.13740944901711627,0.5075423797298112,0.18121211062343703,0.22501477222975777,0.41336577699765237,0.4154143754315228,0.37232243702164525,0.5335202855243935,0.7697321057101346,0.779307913832404,1,0,0,1
8240,0.4024759809234129,0.8368797626632763,0.7611593531173148,0.5778306605232362,0.8787290185521015,0.31359195639617116,0.2821264046085457,0.4149841454480082,0.7191678875098667,0.6876987482690674,1,0,2,1
